DateTime,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),holdings,Assets Under Management
04/09/2024,ProShares Bitcoin ETF,BITO,30.2494,31.4483,-3.81229,-1.1989,93270,2821361568
04/10/2024,ProShares Bitcoin ETF,BITO,30.7091,30.2494,1.5197,0.4597,91400,2806811771
04/11/2024,ProShares Bitcoin ETF,BITO,30.8872,30.7091,0.57996,0.1781,90750,2803013431
04/12/2024,ProShares Bitcoin ETF,BITO,29.314,30.8872,-5.09337,-1.5732,89340,2618912789
04/15/2024,ProShares Bitcoin ETF,BITO,27.7458,29.314,-5.34966,-1.5682,87560,2429422276
04/16/2024,ProShares Bitcoin ETF,BITO,27.4673,27.7458,-1.00376,-0.2785,86860,2385809705
04/17/2024,ProShares Bitcoin ETF,BITO,26.6822,27.4673,-2.85831,-0.7851,85220,2273857111
04/18/2024,ProShares Bitcoin ETF,BITO,27.78,26.6822,4.11435,1.0978,85720,2381301628
04/19/2024,ProShares Bitcoin ETF,BITO,28.0873,27.78,1.10619,0.3073,85220,2393599734
04/22/2024,ProShares Bitcoin ETF,BITO,29.0775,28.0873,3.52544,0.9902,84670,2461991954
04/23/2024,ProShares Bitcoin ETF,BITO,28.9975,29.0775,-0.27513,-0.08,84870,2461017854
04/24/2024,ProShares Bitcoin ETF,BITO,27.8548,28.9975,-3.94068,-1.1427,84040,2340917420
04/25/2024,ProShares Bitcoin ETF,BITO,28.1826,27.8548,1.17682,0.3278,83840,2362829212
04/26/2024,ProShares Bitcoin ETF,BITO,27.7711,28.1826,-1.46012,-0.4115,83490,2318609167
04/29/2024,ProShares Bitcoin ETF,BITO,27.4005,27.7711,-1.33448,-0.3706,83110,2277255582
04/30/2024,ProShares Bitcoin ETF,BITO,25.6318,27.4005,-6.45499,-1.7687,82760,2121287794
05/01/2024,ProShares Bitcoin ETF,BITO,23.1213,25.6318,-9.79447,-2.5105,81660,1888085381
05/02/2024,ProShares Bitcoin ETF,BITO,24.1146,23.1213,4.29604,0.9933,80610,1943877930
05/03/2024,ProShares Bitcoin ETF,BITO,25.2666,24.1146,4.77719,1.152,79690,2013495379
05/06/2024,ProShares Bitcoin ETF,BITO,25.6873,25.2666,1.66504,0.4207,79690,2047020963
05/07/2024,ProShares Bitcoin ETF,BITO,25.6032,25.6873,-0.3274,-0.0841,82100,2102022746
05/08/2024,ProShares Bitcoin ETF,BITO,25.2308,25.6032,-1.45451,-0.3724,80360,2027547113
05/09/2024,ProShares Bitcoin ETF,BITO,25.3883,25.2308,0.62424,0.1575,80220,2036649451
