Date,GLD Close,LBMA Gold Price,NAV per GLD in Gold,NAV/share at 10.30 a.m. NYT,Indicative Price of GLD at 4.15 p.m. NYT,Mid point of bid/ask spread at 4.15 p.m. NYT#,Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT,Daily Share Volume,Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT,Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT,Total Net Asset Value in the Trust
27-Jul-09,93.71,$955.00,98.15636,93.73933,93.66,$93.70,0.04%,5119126,34935438.63,1086.61,3.34E+10
28-Jul-09,92.1,$944.25,98.15492,92.68279,91.971,$92.09,0.13%,10805928,34827468.21,1083.25,3.29E+10
29-Jul-09,91.21,$931.00,98.15337,91.38079,91.243,$91.19,-0.06%,9664563,34493746.76,1072.87,3.21E+10
30-Jul-09,91.59,$932.50,98.15235,91.52707,91.654,$91.59,-0.07%,6243646,34493746.76,1072.87,3.22E+10
31-Jul-09,93.36,$939.00,98.15153,92.16428,93.518,$93.38,-0.15%,14379784,34493746.76,1072.87,3.24E+10
3-Aug-09,93.78,$959.75,98.14915,94.19865,93.918,$93.80,-0.13%,9961002,34493746.76,1072.87,3.31E+10
4-Aug-09,94.7,$960.50,98.14811,94.27126,94.781,$94.72,-0.06%,11483947,34493746.76,1072.87,3.31E+10
5-Aug-09,94.75,$960.50,98.14703,94.27023,94.711,$94.74,0.03%,8975108,34493746.76,1072.87,3.31E+10
6-Aug-09,94.57,$964.00,98.14611,94.61285,94.563,$94.55,-0.01%,13582433,34493746.76,1072.87,3.32E+10
7-Aug-09,93.71,$956.00,98.14468,93.82631,93.718,$93.72,0.00%,8036048,34366158.67,1068.9,3.28E+10
10-Aug-09,92.93,$945.00,98.14091,92.74316,92.86,$92.92,0.07%,6418735,34354829.98,1068.55,3.25E+10
11-Aug-09,92.79,$942.75,98.1398,92.52129,92.83,$92.78,-0.05%,5017201,34256690.18,1065.49,3.23E+10
12-Aug-09,92.91,$947.25,98.1388,92.96198,92.898,$92.91,0.01%,7897810,34256690.18,1065.49,3.24E+10
13-Aug-09,93.7,$953.50,98.13784,93.57443,93.672,$93.69,0.02%,6754218,34256690.18,1065.49,3.27E+10
14-Aug-09,92.98,$953.50,98.13677,93.57341,93.092,$92.99,-0.11%,6188355,34256690.18,1065.49,3.27E+10
17-Aug-09,91.65,$932.75,98.13305,91.5336,91.636,$91.65,0.02%,6832000,34256690.18,1065.49,3.19E+10
18-Aug-09,92.04,$935.00,98.13203,91.75345,92.047,$92.04,-0.01%,4347336,34256690.18,1065.49,3.20E+10
19-Aug-09,92.55,$943.00,98.13116,92.53769,92.498,$92.54,0.05%,7091681,34256690.18,1065.49,3.23E+10
20-Aug-09,92.27,$940.50,98.13002,92.29129,92.32,$92.28,-0.04%,3971281,34256690.18,1065.49,3.22E+10
21-Aug-09,93.62,$952.50,98.12928,93.46814,93.634,$93.62,-0.02%,7279755,34286128.97,1066.41,3.26E+10
24-Aug-09,92.31,$951.50,98.12602,93.36691,92.346,$92.31,-0.04%,8515968,34286128.97,1066.41,3.26E+10
25-Aug-09,92.77,$950.50,98.12492,93.26773,92.747,$92.77,0.03%,8214863,34138941.59,1061.83,3.24E+10
26-Aug-09,92.81,$940.50,98.1235,92.28515,92.795,$92.81,0.02%,5223088,34138941.59,1061.83,3.21E+10
27-Aug-09,93.14,$943.00,98.12252,92.52953,93.167,$93.15,-0.02%,6776647,34138941.59,1061.83,3.22E+10
28-Aug-09,93.84,$955.50,98.12189,93.75547,93.765,$93.84,0.08%,6752728,34138941.59,1061.83,3.26E+10
31-Aug-09,93.37,$955.50,98.11866,93.75238,93.31,$93.38,0.08%,4949860,34138941.59,1061.83,3.26E+10
1-Sep-09,93.9,$955.00,98.11757,93.70228,93.888,$93.92,0.03%,7929752,34138941.59,1061.83,3.26E+10
2-Sep-09,96.19,$964.75,98.11689,94.65827,96.085,$96.19,0.11%,27520538,34188000.03,1063.36,3.30E+10
3-Sep-09,97.43,$983.00,98.11655,96.44857,97.37,$97.41,0.04%,26004593,34658959.47,1078.01,3.41E+10
4-Sep-09,97.52,$989.00,98.11572,97.03645,97.536,$97.53,-0.01%,14906975,34646882.42,1077.63,3.43E+10
7-Sep-09,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
8-Sep-09,97.47,"$1,000.75",98.11153,98.18511,97.523,$97.47,-0.05%,22798147,34646882.42,1077.63,3.47E+10
9-Sep-09,97.12,$999.50,98.11044,98.06138,97.11,$97.12,0.01%,20358892,34646882.42,1077.63,3.46E+10
10-Sep-09,97.65,$990.75,98.10926,97.20175,97.668,$97.67,0.00%,11718052,34646882.42,1077.63,3.43E+10
11-Sep-09,98.76,"$1,008.25",98.10841,98.9178,98.717,$98.77,0.05%,19459582,34646882.42,1077.63,3.49E+10
14-Sep-09,97.95,$999.25,98.10504,98.03146,98.007,$97.96,-0.05%,977979,34686124.43,1078.85,3.47E+10
15-Sep-09,98.9,$996.00,98.10391,97.71149,98.84,$98.89,0.05%,16236205,34686124.43,1078.85,3.45E+10
16-Sep-09,99.91,"$1,015.75",98.10319,99.64831,99.898,$99.90,0.00%,16392701,34931382.41,1086.48,3.55E+10
17-Sep-09,99.35,"$1,018.50",98.10216,99.91705,99.397,$99.36,-0.04%,12341853,34931382.41,1086.48,3.56E+10
18-Sep-09,98.67,"$1,012.00",98.10096,99.27817,99.023,$98.71,-0.32%,13844644,34931382.41,1086.48,3.53E+10
21-Sep-09,98.36,$997.00,98.09739,97.80309,98.352,$98.39,0.04%,11106935,35421869.36,1101.73,3.53E+10
22-Sep-09,99.67,"$1,014.00",98.09672,99.47007,99.598,$99.66,0.06%,10828391,35421869.36,1101.73,3.59E+10
23-Sep-09,98.83,"$1,010.25",98.09555,99.10103,98.792,$98.84,0.05%,14677563,35421869.36,1101.73,3.58E+10
24-Sep-09,97.55,"$1,009.75",98.09446,99.05088,97.555,$97.53,-0.03%,23223894,35176633.21,1094.11,3.55E+10
25-Sep-09,97,$991.50,98.09289,97.2591,97.073,$97.03,-0.04%,10707516,35176633.21,1094.11,3.49E+10
28-Sep-09,97.05,$991.75,98.08967,97.28043,97.05,$97.05,0.00%,7786420,35176633.21,1094.11,3.49E+10
29-Sep-09,97.43,$989.50,98.08852,97.05859,97.343,$97.41,0.07%,9135101,35176633.21,1094.11,3.48E+10
30-Sep-09,98.85,$995.75,98.08765,97.67078,98.813,$98.84,0.03%,18657577,35215868.27,1095.33,3.51E+10
1-Oct-09,97.92,"$1,004.75",98.08688,98.5528,97.969,$97.92,-0.05%,10991888,35215868.27,1095.33,3.54E+10
2-Oct-09,98.34,"$1,003.50",98.08577,98.42907,98.321,$98.34,0.02%,10412891,35255102.57,1096.55,3.54E+10
5-Oct-09,99.82,"$1,005.50",98.08262,98.62207,99.75,$99.80,0.05%,11652677,35304143.88,1098.07,3.55E+10
6-Oct-09,102.28,"$1,038.75",98.08279,101.8835,102.163,$102.27,0.10%,33414877,35382610.12,1100.51,3.67E+10
7-Oct-09,102.38,"$1,040.25",98.08177,102.0296,102.368,$102.37,0.00%,16149070,35665560.48,1109.31,3.71E+10
8-Oct-09,103.64,"$1,045.00",98.08073,102.4944,103.632,$103.63,0.00%,24062613,35665560.48,1109.31,3.73E+10
9-Oct-09,102.84,"$1,051.50",98.07972,103.1308,102.827,$102.82,-0.01%,15162169,35665560.48,1109.31,3.75E+10
12-Oct-09,103.56,"$1,058.75",98.07658,103.8386,103.559,$103.54,-0.02%,9041610,35665560.48,1109.31,3.78E+10
13-Oct-09,104.23,"$1,057.50",98.07549,103.7148,104.235,$104.24,0.01%,17294837,35665560.48,1109.31,3.77E+10
14-Oct-09,104.18,"$1,059.50",98.07444,103.9099,104.135,$104.15,0.01%,17789473,35665560.48,1109.31,3.78E+10
15-Oct-09,102.86,"$1,053.50",98.07327,103.3202,102.859,$102.88,0.02%,15755140,35665560.48,1109.31,3.76E+10
16-Oct-09,103.18,"$1,047.50",98.0721,102.7305,103.191,$103.21,0.02%,14087417,35665560.48,1109.31,3.74E+10
19-Oct-09,104.23,"$1,050.50",98.06894,103.0214,104.218,$104.22,0.00%,13813535,35665560.48,1109.31,3.75E+10
20-Oct-09,103.42,"$1,061.75",98.06809,104.1238,103.462,$103.44,-0.02%,18244540,35665560.48,1109.31,3.79E+10
21-Oct-09,103.72,"$1,053.75",98.06684,103.3379,103.774,$103.75,-0.02%,15864920,35626333.74,1108.09,3.75E+10
22-Oct-09,103.92,"$1,053.00",98.06575,103.2632,103.861,$103.89,0.03%,11567807,35626333.74,1108.09,3.75E+10
23-Oct-09,103.49,"$1,061.75",98.06488,104.1204,103.488,$103.48,-0.01%,11409161,35626333.74,1108.09,3.78E+10
26-Oct-09,101.83,"$1,054.00",98.06145,103.3568,101.837,$101.85,0.01%,21468238,35587109.16,1106.87,3.75E+10
27-Oct-09,101.83,"$1,036.50",98.05989,101.6391,101.982,$101.86,-0.12%,18390103,35547885.2,1105.65,3.68E+10
28-Oct-09,100.73,"$1,031.75",98.05868,101.172,100.824,$100.74,-0.08%,19341982,35508661.73,1104.43,3.66E+10
29-Oct-09,102.7,"$1,040.50",98.05787,102.0292,102.696,$102.69,-0.01%,15257081,35508661.73,1104.43,3.69E+10
30-Oct-09,102.5,"$1,040.00",98.05678,101.9791,102.518,$102.52,0.00%,15217373,35479244.7,1103.52,3.69E+10
2-Nov-09,103.95,"$1,062.00",98.0543,104.1337,103.889,$103.92,0.03%,15288320,35479244.7,1103.52,3.77E+10
3-Nov-09,106.47,"$1,061.00",98.05319,104.0344,106.417,$106.44,0.02%,33444756,35636129.8,1108.4,3.78E+10
4-Nov-09,107.11,"$1,090.00",98.05309,106.8779,107.025,$107.10,0.07%,26942720,35636129.8,1108.4,3.88E+10
5-Nov-09,106.98,"$1,089.00",98.05199,106.7786,106.926,$106.97,0.04%,10131972,35634373.02,1108.34,3.88E+10
6-Nov-09,107.43,"$1,096.75",98.05096,107.5374,107.474,$107.45,-0.02%,14748701,35634373.02,1108.34,3.91E+10
9-Nov-09,108.21,"$1,106.75",98.04782,108.5144,108.196,$108.21,0.01%,18435459,35830468.66,1114.44,3.97E+10
10-Nov-09,108.39,"$1,101.50",98.04669,107.9984,108.371,$108.40,0.03%,15962478,35830468.66,1114.44,3.95E+10
11-Nov-09,109.6,"$1,115.25",98.04576,109.3455,109.586,$109.62,0.03%,17646493,35830468.66,1114.44,4.00E+10
12-Nov-09,108.19,"$1,114.75",98.04468,109.2953,108.261,$108.20,-0.06%,17792869,35830468.66,1114.44,3.99E+10
13-Nov-09,109.74,"$1,104.00",98.04347,108.24,109.74,$109.76,0.02%,17236710,35810859.97,1113.83,3.95E+10
16-Nov-09,111.63,"$1,130.00",98.04064,110.7859,111.639,$111.61,-0.03%,24797733,35810859.97,1113.83,4.05E+10
17-Nov-09,111.97,"$1,134.75",98.03964,111.2505,111.922,$111.97,0.04%,19483945,35810859.97,1113.83,4.06E+10
18-Nov-09,112.29,"$1,149.00",98.03879,112.6466,112.274,$112.29,0.01%,21954562,35928506.52,1117.49,4.13E+10
19-Nov-09,112.3,"$1,135.50",98.03749,111.3216,112.224,$112.31,0.08%,21179505,35928506.52,1117.49,4.08E+10
20-Nov-09,112.94,"$1,140.00",98.0365,111.7616,112.781,$112.88,0.09%,17276569,35928506.52,1117.49,4.09E+10
23-Nov-09,114.29,"$1,169.50",98.03387,114.6506,114.239,$114.27,0.03%,24407016,36055950.55,1121.46,4.22E+10
24-Nov-09,114.75,"$1,163.25",98.03267,114.0365,114.688,$114.73,0.04%,22569535,36085360.35,1122.37,4.20E+10
25-Nov-09,116.61,"$1,179.75",98.03195,115.6532,116.697,$116.62,-0.07%,24436293,36261817.86,1127.86,4.28E+10
26-Nov-09,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
27-Nov-09,114.99,"$1,166.50",98.02949,114.3514,115.449,$114.80,-0.56%,21134503,36261817.86,1127.86,4.23E+10
30-Nov-09,115.64,"$1,175.75",98.02651,115.2547,115.642,$115.64,0.00%,16330347,36330436.41,1129.99,4.27E+10
1-Dec-09,117.38,"$1,192.50",98.02588,116.8959,117.347,$117.41,0.05%,27585932,36350041.59,1130.6,4.33E+10
2-Dec-09,119.18,"$1,212.50",98.02533,118.8557,119.062,$119.18,0.10%,30943973,36369646.66,1131.21,4.41E+10
3-Dec-09,118.7,"$1,208.75",98.02415,118.4867,118.648,$118.71,0.05%,28700381,36378539.33,1131.49,4.40E+10
4-Dec-09,113.78,"$1,190.25",98.02301,116.6719,113.609,$113.77,0.14%,79062794,36329527.82,1129.97,4.32E+10
7-Dec-09,113.11,"$1,142.50",98.01944,111.9872,113.252,$113.12,-0.12%,42379060,36329527.82,1129.97,4.15E+10
8-Dec-09,110.95,"$1,146.75",98.01841,112.4026,110.869,$110.90,0.03%,37530793,35888444.98,1116.25,4.12E+10
9-Dec-09,110.84,"$1,141.00",98.01728,111.8377,110.828,$110.84,0.01%,37042474,35888444.98,1116.25,4.09E+10
10-Dec-09,110.82,"$1,128.50",98.01607,110.6111,110.886,$110.85,-0.03%,20471984,35888444.98,1116.25,4.05E+10
11-Dec-09,109.32,"$1,124.00",98.01495,110.1688,109.198,$109.31,0.10%,28918563,35888444.98,1116.25,4.03E+10
14-Dec-09,110.24,"$1,123.75",98.01172,110.1407,110.224,$110.22,0.00%,16178801,35898246.15,1116.55,4.03E+10
15-Dec-09,110.21,"$1,122.00",98.01062,109.9679,110.086,$110.20,0.10%,19981128,35898246.15,1116.55,4.03E+10
16-Dec-09,111.59,"$1,137.50",98.0098,111.4861,111.545,$111.58,0.03%,22784177,36025658.89,1120.51,4.10E+10
17-Dec-09,107.34,"$1,117.00",98.00837,109.4753,107.339,$107.40,0.06%,34851983,36025658.89,1120.51,4.02E+10
18-Dec-09,108.95,"$1,104.50",98.00706,108.2488,109.023,$108.97,-0.05%,25321616,36221673.01,1126.61,4.00E+10
21-Dec-09,106.95,"$1,105.50",98.00386,108.3433,106.991,$106.95,-0.04%,23292689,36417680.73,1132.71,4.02E+10
22-Dec-09,106.17,"$1,084.00",98.00229,106.2345,106.087,$106.18,0.09%,28628220,36417680.73,1132.71,3.95E+10
23-Dec-09,106.55,"$1,085.25",98.00125,106.3559,106.782,$106.58,-0.19%,16220846,36417680.73,1132.71,3.95E+10
24-Dec-09,108.36,"$1,085.25",98.00066,108.2417,108.34,$108.39,0.05%,7989663,36417680.73,1132.71,4.02E+10
25-Dec-09,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
28-Dec-09,108.57,"$1,085.25",97.99636,108.237,108.6,$108.57,-0.03%,9603376,36417680.73,1132.71,4.02E+10
29-Dec-09,107.49,"$1,106.00",97.99533,108.3828,107.52,$107.47,-0.05%,11007662,36447079.33,1133.62,4.03E+10
30-Dec-09,106.93,"$1,087.50",97.99369,106.5681,107.019,$106.95,-0.06%,9367472,36447079.33,1133.62,3.96E+10
31-Dec-09,107.31,"$1,087.50",97.99314,108.1844,107.351,$107.30,-0.05%,9112910,36447079.33,1133.62,4.02E+10
1-Jan-10,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
4-Jan-10,109.78,"$1,121.50",97.98945,109.8952,109.807,$109.80,-0.01%,16157888,36290296.21,1128.75,4.07E+10
5-Jan-10,109.67,"$1,123.25",97.98844,110.0655,109.718,$109.68,-0.03%,14188994,36290296.21,1128.75,4.07E+10
6-Jan-10,111.52,"$1,130.00",97.9876,110.726,111.5,$111.53,0.03%,24954868,36133516.05,1123.87,4.08E+10
7-Jan-10,110.83,"$1,130.25",97.98654,110.7493,110.842,$110.81,-0.03%,13529207,36121730.98,1123.5,4.08E+10
8-Jan-10,111.38,"$1,126.75",97.98543,110.4051,111.351,$111.35,0.00%,15776236,35994349.93,1119.54,4.06E+10
11-Jan-10,112.85,"$1,153.00",97.98253,112.9739,112.925,$112.84,-0.08%,17148789,35994349.93,1119.54,4.15E+10
12-Jan-10,110.5,"$1,151.25",97.98143,112.8011,110.376,$110.50,0.11%,29148424,35876772.21,1115.88,4.13E+10
13-Jan-10,111.54,"$1,127.25",97.98002,110.448,111.511,$111.55,0.03%,19803132,35876772.21,1115.88,4.04E+10
14-Jan-10,112.03,"$1,138.25",97.97911,111.5247,112.029,$112.05,0.02%,18304829,35808186.83,1113.75,4.08E+10
15-Jan-10,110.85,"$1,128.00",97.97788,110.519,110.891,$110.86,-0.03%,17992871,35778793.47,1112.84,4.04E+10
18-Jan-10,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
19-Jan-10,111.53,"$1,133.00",97.97367,111.0042,111.612,$111.53,-0.07%,10465251,35749401.37,1111.92,4.05E+10
20-Jan-10,108.94,"$1,120.25",97.97233,109.7535,108.945,$108.92,-0.02%,17325897,35749401.37,1111.92,4.00E+10
21-Jan-10,107.36,"$1,108.25",97.97099,108.5763,107.327,$107.34,0.01%,25731168,35749401.37,1111.92,3.96E+10
22-Jan-10,107.17,"$1,084.00",97.96933,106.1987,107.149,$107.18,0.03%,24063128,35749401.37,1111.92,3.87E+10
25-Jan-10,107.48,"$1,095.25",97.96641,107.2977,107.557,$107.51,-0.04%,21898632,35749401.37,1111.92,3.91E+10
26-Jan-10,107.56,"$1,093.25",97.96528,107.1005,107.527,$107.55,0.02%,12165974,35749401.37,1111.92,3.91E+10
27-Jan-10,106.51,"$1,094.75",97.96425,107.2464,106.566,$106.50,-0.06%,18722769,35749401.37,1111.92,3.91E+10
28-Jan-10,106.48,"$1,088.00",97.96298,106.5837,106.466,$106.47,0.00%,16559709,35749401.37,1111.92,3.89E+10
29-Jan-10,105.96,"$1,078.50",97.9616,105.6516,106.043,$105.97,-0.07%,20269934,35749401.37,1111.92,3.85E+10
1-Feb-10,108.34,"$1,086.50",97.95866,106.4321,108.352,$108.37,0.02%,14609484,35749401.37,1111.92,3.88E+10
2-Feb-10,109.15,"$1,111.00",97.95844,108.8318,109.155,$109.15,0.00%,13992438,35749401.37,1111.92,3.97E+10
3-Feb-10,108.7,"$1,115.25",97.95751,109.2471,108.694,$108.67,-0.02%,13373375,35698496.2,1110.34,3.98E+10
4-Feb-10,104.35,"$1,083.25",97.95621,106.1111,104.402,$104.38,-0.02%,39580763,35512379.4,1104.55,3.85E+10
5-Feb-10,104.63,"$1,058.00",97.95492,103.6363,104.626,$104.60,-0.02%,32633727,35571152.36,1106.38,3.76E+10
8-Feb-10,104.05,"$1,064.00",97.95177,104.2207,104.103,$104.06,-0.04%,17081809,35571152.36,1106.38,3.78E+10
9-Feb-10,105.44,"$1,071.25",97.95079,104.9298,105.464,$105.44,-0.02%,25799073,35571152.36,1106.38,3.81E+10
10-Feb-10,105.12,"$1,069.50",97.94969,104.7572,105.08,$105.09,0.01%,15431197,35571152.36,1106.38,3.80E+10
11-Feb-10,107.13,"$1,076.25",97.94872,105.4173,107.156,$107.16,0.00%,19225638,35571152.36,1106.38,3.83E+10
12-Feb-10,107.04,"$1,082.00",97.94773,105.9794,107.018,$107.02,0.00%,13944261,35571152.36,1106.38,3.85E+10
15-Feb-10,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
16-Feb-10,109.57,"$1,115.25",97.94404,109.2321,109.56,$109.59,0.03%,20891001,35669096.4,1109.42,3.98E+10
17-Feb-10,109.25,"$1,119.00",97.94304,109.5983,109.246,$109.24,-0.01%,18268546,35669096.4,1109.42,3.99E+10
18-Feb-10,109.98,"$1,118.00",97.94194,109.4991,109.969,$109.96,-0.01%,18266479,35669096.4,1109.42,3.99E+10
19-Feb-10,109.47,"$1,112.75",97.94076,108.9836,109.38,$109.46,0.07%,21858644,35610331.94,1107.6,3.96E+10
22-Feb-10,109.07,"$1,115.25",97.9376,109.2249,109.034,$109.06,0.02%,10725639,35620125.7,1107.9,3.97E+10
23-Feb-10,107.89,"$1,107.00",97.93632,108.4155,107.877,$107.87,-0.01%,13531379,35590744.8,1106.99,3.94E+10
24-Feb-10,107.36,"$1,103.00",97.93514,108.0225,107.396,$107.35,-0.04%,17164539,35590744.8,1106.99,3.92E+10
25-Feb-10,108.31,"$1,094.50",97.93384,107.1886,108.266,$108.30,0.03%,23245713,35590744.8,1106.99,3.89E+10
26-Feb-10,109.43,"$1,108.25",97.93315,108.5344,109.362,$109.40,0.03%,13123981,35590744.8,1106.99,3.94E+10
1-Mar-10,109.43,"$1,114.00",97.93011,109.0941,109.408,$109.42,0.01%,12781126,35590744.8,1106.99,3.96E+10
2-Mar-10,111.01,"$1,126.50",97.92942,110.3175,111.023,$111.01,-0.01%,20096542,35737638.93,1111.56,4.02E+10
3-Mar-10,111.65,"$1,136.50",97.92866,111.2959,111.6,$111.62,0.02%,16193023,35864803.61,1115.51,4.08E+10
4-Mar-10,110.83,"$1,134.50",97.92758,111.0988,110.913,$110.86,-0.05%,12794646,35864803.61,1115.51,4.07E+10
5-Mar-10,110.81,"$1,135.00",97.92651,111.1466,110.863,$110.83,-0.03%,11070365,35884388.91,1116.12,4.07E+10
8-Mar-10,109.88,"$1,125.75",97.92318,110.237,109.86,$109.88,0.02%,11940600,35884388.91,1116.12,4.04E+10
9-Mar-10,109.69,"$1,115.75",97.92197,109.2564,109.673,$109.71,0.03%,12550857,35884388.91,1116.12,4.00E+10
10-Mar-10,108.47,"$1,120.50",97.92097,109.7204,108.438,$108.45,0.01%,21660027,35864804.72,1115.51,4.02E+10
11-Mar-10,108.6,"$1,104.00",97.91964,108.1033,108.603,$108.58,-0.02%,9397339,35864804.72,1115.51,3.96E+10
12-Mar-10,107.95,"$1,106.25",97.91861,108.3225,107.994,$107.96,-0.03%,1.17E+08,35864804.72,1115.51,3.97E+10
15-Mar-10,108.37,"$1,104.25",97.91535,108.123,108.539,$108.38,-0.15%,7466730,35864804.72,1115.51,3.96E+10
16-Mar-10,110.41,"$1,124.75",97.91468,110.1295,110.409,$110.40,-0.01%,17553101,35864804.72,1115.51,4.03E+10
17-Mar-10,109.57,"$1,121.75",97.91355,109.8345,109.712,$109.58,-0.12%,13654638,35864804.72,1115.51,4.02E+10
18-Mar-10,110.34,"$1,122.75",97.9125,109.9313,110.387,$110.34,-0.04%,13840271,35864804.72,1115.51,4.03E+10
19-Mar-10,108.28,"$1,105.50",97.91103,108.2406,108.388,$108.30,-0.08%,24306105,35864804.72,1115.51,3.96E+10
22-Mar-10,107.75,"$1,097.25",97.9076,107.4291,107.914,$107.77,-0.13%,11560756,35864804.72,1115.51,3.93E+10
23-Mar-10,108.32,"$1,101.50",97.90664,107.8442,108.206,$108.31,0.10%,11263675,36011664.68,1120.08,3.97E+10
24-Mar-10,106.3,"$1,090.75",97.90526,106.7902,106.394,$106.34,-0.05%,14131676,36011664.68,1120.08,3.93E+10
25-Mar-10,106.79,"$1,093.00",97.90425,107.0093,106.755,$106.77,0.01%,16465603,36158521.05,1124.65,3.95E+10
26-Mar-10,108.59,"$1,096.50",97.90329,107.351,108.379,$108.59,0.19%,17398169,36158521.05,1124.65,3.96E+10
29-Mar-10,108.76,"$1,107.50",97.90043,108.4247,108.66,$108.76,0.09%,11365568,36324951.78,1129.82,4.02E+10
30-Mar-10,107.97,"$1,107.00",97.89934,108.3746,107.993,$107.99,0.00%,9804774,36324951.78,1129.82,4.02E+10
31-Mar-10,108.95,"$1,115.50",97.89856,109.2058,108.971,$108.93,-0.04%,13983345,36324951.78,1129.82,4.05E+10
1-Apr-10,110.26,"$1,123.50",97.89776,109.9881,110.252,$110.24,-0.01%,11361629,36324951.78,1129.82,4.08E+10
2-Apr-10,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
5-Apr-10,110.89,"$1,116.00",97.89347,109.9833,110.796,$110.85,0.05%,8249708,36324951.78,1129.82,4.08E+10
6-Apr-10,111.02,"$1,132.75",97.89275,110.888,111.04,$111.04,0.00%,10315328,36324951.78,1129.82,4.11E+10
7-Apr-10,112.44,"$1,142.00",97.89204,111.7927,112.498,$112.47,-0.02%,18979532,36354319.39,1130.74,4.15E+10
8-Apr-10,112.65,"$1,148.00",97.89121,112.3791,112.634,$112.66,0.02%,12432514,36666045.44,1140.43,4.21E+10
9-Apr-10,113.64,"$1,152.50",97.89019,112.8184,113.621,$113.64,0.02%,16393495,36685623.48,1141.04,4.23E+10
12-Apr-10,113.03,"$1,158.75",97.88708,113.4266,113.079,$113.00,-0.07%,10892206,36685623.48,1141.04,4.25E+10
13-Apr-10,112.69,"$1,148.25",97.88582,112.3974,112.676,$112.67,-0.01%,10952645,36685623.48,1141.04,4.21E+10
14-Apr-10,113.03,"$1,153.75",97.88485,112.9346,113.067,$113.05,-0.01%,10535955,36685623.48,1141.04,4.23E+10
15-Apr-10,113.64,"$1,154.50",97.88379,113.0068,113.653,$113.65,0.00%,10959270,36685623.48,1141.04,4.23E+10
16-Apr-10,111.24,"$1,151.50",97.88266,112.7119,111.263,$111.24,-0.02%,24081719,36685623.48,1141.04,4.22E+10
19-Apr-10,111.15,"$1,136.25",97.87909,111.2151,111.161,$111.14,-0.02%,7754724,36685623.48,1141.04,4.17E+10
20-Apr-10,111.46,"$1,144.75",97.87822,112.0461,111.415,$111.45,0.03%,6960513,36685623.48,1141.04,4.20E+10
21-Apr-10,112.31,"$1,143.00",97.87711,111.8735,112.304,$112.30,0.00%,6852085,36685623.48,1141.04,4.19E+10
22-Apr-10,111.84,"$1,133.75",97.87579,110.9667,111.804,$111.83,0.02%,9503998,36656260.74,1140.13,4.15E+10
23-Apr-10,113.19,"$1,139.50",97.87488,111.5284,113.153,$113.18,0.02%,12226860,36656260.74,1140.13,4.18E+10
26-Apr-10,112.75,"$1,154.50",97.8721,112.9933,112.817,$112.76,-0.05%,8268377,36852004.94,1146.22,4.25E+10
27-Apr-10,114.64,"$1,149.50",97.87088,112.5026,114.548,$114.62,0.06%,24955103,36871579.11,1146.83,4.24E+10
28-Apr-10,114.31,"$1,161.00",97.87016,113.6273,114.273,$114.29,0.01%,26033823,37067319.43,1152.91,4.30E+10
29-Apr-10,114.28,"$1,166.75",97.86926,114.189,114.204,$114.27,0.06%,10306914,37263057.95,1159,4.35E+10
30-Apr-10,115.38,"$1,179.25",97.86858,115.4115,115.358,$115.36,0.00%,13467475,37263057.95,1159,4.39E+10
3-May-10,115.73,"$1,179.25",97.86536,115.4077,115.706,$115.72,0.01%,13223806,37263057.95,1159,4.39E+10
4-May-10,114.87,"$1,185.00",97.86449,115.9694,114.854,$114.86,0.01%,21168648,37263057.95,1159,4.41E+10
5-May-10,115.09,"$1,165.00",97.8627,114.01,114.969,$115.10,0.11%,21582883,37488142.16,1166,4.37E+10
6-May-10,118.44,"$1,185.25",97.86237,115.9914,118.188,$118.47,0.24%,50290590,38124247.57,1185.79,4.52E+10
7-May-10,118.27,"$1,202.25",97.8619,117.6545,118.217,$118.26,0.04%,34266066,38211394.86,1188.5,4.59E+10
10-May-10,117.57,"$1,196.50",97.85859,117.0878,117.616,$117.58,-0.03%,28265815,38328825.17,1192.15,4.59E+10
