Date,GLD Close,LBMA Gold Price,NAV per GLD in Gold,NAV/share at 10.30 a.m. NYT,Indicative Price of GLD at 4.15 p.m. NYT,Mid point of bid/ask spread at 4.15 p.m. NYT#,Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT,Daily Share Volume,Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT,Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT,Total Net Asset Value in the Trust
25-Nov-14,115.38,"$1,199.00",96.09425,115.217,115.294,$115.37,0.07%,8378865,23178119.88,720.91,2.78E+10
26-Nov-14,115.16,"$1,197.50",96.09315,115.0715,115.144,$115.15,0.01%,3181169,23110854.68,718.82,2.77E+10
27-Nov-14,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
28-Nov-14,112.11,"$1,182.75",96.09051,113.6511,112.181,$112.10,-0.07%,9604771,23072418.47,717.63,2.73E+10
1-Dec-14,116.62,"$1,194.00",96.08779,114.7288,116.612,$116.57,-0.04%,13651226,23072418.47,717.63,2.75E+10
2-Dec-14,115.14,"$1,195.00",96.08678,114.8237,115.112,$115.16,0.04%,6363382,23149287.9,720.02,2.76E+10
3-Dec-14,116.33,"$1,204.75",96.08611,115.7597,116.341,$116.33,-0.01%,5119137,23149287.9,720.02,2.79E+10
4-Dec-14,115.88,"$1,209.00",96.08523,116.167,115.922,$115.89,-0.03%,3355388,23149287.9,720.02,2.80E+10
5-Dec-14,114.43,"$1,194.00",96.08356,114.7238,114.484,$114.43,-0.05%,5251967,23178112.97,720.91,2.77E+10
8-Dec-14,115.78,"$1,193.00",96.08035,114.6239,115.815,$115.78,-0.03%,5216071,23120464.76,719.12,2.76E+10
9-Dec-14,118.19,"$1,227.00",96.08081,117.8912,118.16,$118.17,0.01%,10463224,23206937.49,721.81,2.85E+10
10-Dec-14,117.95,"$1,229.00",96.07985,118.0821,118.034,$117.97,-0.05%,4121157,23303017.34,724.8,2.86E+10
11-Dec-14,117.69,"$1,216.25",96.07822,116.8551,117.696,$117.71,0.01%,4712142,23333519.88,725.75,2.84E+10
12-Dec-14,117.41,"$1,217.00",96.07718,116.9259,117.464,$117.39,-0.06%,4657985,23333519.88,725.75,2.84E+10
15-Dec-14,114.42,"$1,209.25",96.07385,116.1773,114.501,$114.39,-0.10%,8751585,23256660.8,723.36,2.81E+10
16-Dec-14,114.95,"$1,202.50",96.07264,115.5274,114.98,$114.96,-0.02%,9168929,23199017.22,721.56,2.79E+10
17-Dec-14,114.27,"$1,195.75",96.07142,114.8774,114.306,$114.26,-0.04%,8091401,23199017.22,721.56,2.77E+10
18-Dec-14,115.15,"$1,199.00",96.07045,115.1885,115.179,$115.14,-0.03%,4661311,23199017.22,721.56,2.78E+10
19-Dec-14,114.77,"$1,195.50",96.06931,114.8509,114.851,$114.82,-0.03%,4639359,23295086.53,724.55,2.78E+10
22-Dec-14,112.55,"$1,195.25",96.06614,114.8231,112.638,$112.58,-0.05%,6385951,23295086.53,724.55,2.78E+10
